lat,lon,addr:street,addr:housenumber
50.9425490618,2.98921178127,Ieper Heirweg,1
50.9463558088,2.99127806861,Ieper Heirweg,2
50.9467221878,2.99282188136,Ieper Heirweg,3
50.9461842557,2.99039503394,Ieper Heirweg,4
