lat,lon,addr:street,addr:housenumber,fixme
50.9873823434,2.99798431343,Hogestraat,1,
50.9858690013,2.99606090211,Hogestraat,10,
50.9858012647,2.99592671348,Hogestraat,12,
50.9877576363,2.99342421496,Hogestraat,13,
50.986603218,2.99545539526,Hogestraat,15,
50.9858178176,2.99513398208,Hogestraat,16,
50.9865002716,2.99528562941,Hogestraat,17,
50.9858210917,2.99478291595,Hogestraat,18,
50.9864369441,2.99497468396,Hogestraat,19,
50.985746885,2.99457983597,Hogestraat,20,
50.9863219297,2.99472621878,Hogestraat,21,
50.9855941276,2.99457163612,Hogestraat,22,
50.9863471083,2.99407993905,Hogestraat,23,
50.9861602282,2.99423697484,Hogestraat,25,
50.984906464,2.99225127438,Hogestraat,26,
50.9870397051,2.99243763352,Hogestraat,27,
50.9840698196,2.99138548147,Hogestraat,28,
50.9867340892,2.99332775161,Hogestraat,29,
50.9872351312,2.99693966419,Hogestraat,3,
50.9843365759,2.99070221912,Hogestraat,30,
50.9868300135,2.99331952471,Hogestraat,31,
50.9831519068,2.99106605303,Hogestraat,32,
50.9871602298,2.99262639397,Hogestraat,33,
50.9826581601,2.99308141282,Hogestraat,34,
50.9873327862,2.99229798148,Hogestraat,35,
50.9818172893,2.99227658725,Hogestraat,36,
50.9860722033,2.99398245123,Hogestraat,37,
50.9815181547,2.99090796424,Hogestraat,38,
50.9860192605,2.99386805759,Hogestraat,39,
50.9862400059,2.99626555228,Hogestraat,4,
50.9833889168,2.98957067482,Hogestraat,40,
50.9863525531,2.99268414365,Hogestraat,41,
50.9820206008,2.98802783617,Hogestraat,42,
50.9865572365,2.99228143649,Hogestraat,43,
50.985943162,2.99350322222,Hogestraat,45,
50.9861619205,2.99305837425,Hogestraat,47,
50.9858410982,2.99306308721,Hogestraat,49,
50.9874074875,2.99564493324,Hogestraat,5,
50.9857120023,2.99276404987,Hogestraat,51,
50.9856490449,2.99230083494,Hogestraat,53,
50.9852780988,2.99144869514,Hogestraat,57,
50.9841118515,2.9893629633,Hogestraat,59,
50.9862420993,2.99608273991,Hogestraat,6,
50.983691562,2.9883070807,Hogestraat,61,
50.9849558931,2.98327815416,Hogestraat,63,
50.9859506197,2.99628299726,Hogestraat,8,
50.9866936047,2.99586639884,Hogestraat,9,
